Model,Firewall Throughput (Gbps),Threat Protection Throughput (Gbps),IPsec VPN Throughput (Gbps),IPS Throughput (Gbps),NGFW Throughput (Gbps)
PA-7500,1500,1440,407,0,0
PA-7080,590,305,310,0,0
PA-7050,343,184,190,0,0
PA-5450,200,189,85,0,0
PA-5445,90,76,64,0,0
PA-5440,90,70,58,0,0
PA-5430,82,60,42,0,0
PA-5420,70,50,28,0,0
PA-5410,52,35,20,0,0
PA-5280,55,31,25,0,0
PA-5260,55,31,25,0,0
PA-5250,35,19,18.4,0,0
PA-5220,15,8.8,9.5,0,0
PA-3440,35,20,14.5,0,0
PA-3430,29,15,12,0,0
PA-3420,19,10,9.9,0,0
PA-3410,14,7.5,6.6,0,0
PA-3260,7.5,4,4.4,0,0
PA-3250,5,2.5,2.6,0,0
PA-3220,4,2.2,2.4,0,0
PA-1420,9.5,6.2,6.5,0,0
PA-1410,8.5,4.5,4.6,0,0
PA-850,1.9,0.9,1.6,0,0
PA-820,1.5,0.8,1.2,0,0
PA-460,4.6,3,2.3,0,0
PA-455,3.6,2.3,1.8,0,0
PA-450R-5G,3.2,1.9,1.7,0,0
PA-450R,2.65,1.25,1.7,0,0
PA-450,2.55,1.2,1.7,0,0
PA-445,1.5,0.8,1.1,0,0
PA-440,1.5,0.78,1.1,0,0
PA-415-5G,1.5,0.8,0.65,0,0
PA-415,1.5,0.8,0.65,0,0
PA-410R-5G,1.4,0.78,0.65,0,0
PA-410R,1.4,0.78,0.65,0,0
PA-410,1.4,0.78,0.65,0,0
